IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::820
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::INVOKE::java.io.PrintStream::$r3::<java.io.PrintStream: void print(java.lang.String)>::820
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::SPECIALINVOKE::<spec.benchmarks.check.subClass: void <init>()>::833
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::SPECIALINVOKE::<spec.benchmarks.check.superClass: void <init>()>::834
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::847
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::850
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::INVOKE::spec.benchmarks.check.PepTest::r0::<spec.benchmarks.check.PepTest: void checkAllNull(java.lang.Object[])>::851
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::852
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::INVOKE::spec.benchmarks.check.PepTest::r0::<spec.benchmarks.check.PepTest: void checkAllNull(java.lang.Object[])>::853
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::INVOKE::spec.benchmarks.check.PepTest::r0::<spec.benchmarks.check.PepTest: void checkAllNull(java.lang.Object[])>::854
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::SPECIALINVOKE::<spec.benchmarks.check.subClass: void <init>()>::856
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::857
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::INVOKE::spec.benchmarks.check.PepTest::r0::<spec.benchmarks.check.PepTest: void checkAllNull(java.lang.Object[])>::858
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::INVOKE::spec.benchmarks.check.PepTest::r0::<spec.benchmarks.check.PepTest: void checkAllNull(java.lang.Object[])>::859
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::865
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::873
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::881
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::892
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::903
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::SPECIALINVOKE::<spec.benchmarks.check.superClass: void <init>()>::909
IN METHOD::<spec.benchmarks.check.PepTest: java.lang.String testObjectArray()>::STATICINVOKE::<java.lang.System: void arraycopy(java.lang.Object,int,java.lang.Object,int,int)>::912
