IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::java.util.Hashtable::$r3::<java.util.Hashtable: boolean containsKey(java.lang.Object)>::108
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::java.util.Hashtable::$r8::<java.util.Hashtable: java.lang.Object get(java.lang.Object)>::109
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::java.security.Provider::$r8::<java.security.Provider: java.lang.Object get(java.lang.Object)>::109
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::javax.swing.MultiUIDefaults::$r8::<javax.swing.MultiUIDefaults: java.lang.Object get(java.lang.Object)>::109
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::javax.swing.UIDefaults::$r8::<javax.swing.UIDefaults: java.lang.Object get(java.lang.Object)>::109
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::org.jfree.data.xy.XYSeries::$r10::<org.jfree.data.xy.XYSeries: void add(double,double)>::109
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::SPECIALINVOKE::<org.jfree.data.xy.XYSeries: void <init>(java.lang.Comparable)>::111
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::org.jfree.data.xy.XYSeries::r2::<org.jfree.data.xy.XYSeries: void add(double,double)>::112
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::java.util.Hashtable::$r5::<java.util.Hashtable: java.lang.Object put(java.lang.Object,java.lang.Object)>::113
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::java.security.Provider::$r5::<java.security.Provider: java.lang.Object put(java.lang.Object,java.lang.Object)>::113
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::sun.awt.FontConfiguration$PropertiesHandler$FontProperties::$r5::<sun.awt.FontConfiguration$PropertiesHandler$FontProperties: java.lang.Object put(java.lang.Object,java.lang.Object)>::113
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::javax.swing.UIDefaults::$r5::<javax.swing.UIDefaults: java.lang.Object put(java.lang.Object,java.lang.Object)>::113
IN METHOD::<spec.reporter.BenchmarkChart: void addTimeInfo(java.lang.String,long,long)>::INVOKE::org.jfree.data.xy.XYSeriesCollection::$r7::<org.jfree.data.xy.XYSeriesCollection: void addSeries(org.jfree.data.xy.XYSeries)>::114
