IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::121
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::124
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::124
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::125
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::125
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::130
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::130
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::130
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::131
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::131
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::131
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::132
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::132
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::132
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::133
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::133
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::133
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::134
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::134
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::134
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::136
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::136
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::136
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::137
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::137
IN METHOD::<spec.harness.analyzer.PowerAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: void <init>(double,java.lang.String,java.lang.String)>::137
