IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::STATICINVOKE::<spec.harness.analyzer.AnalyzersRunner: int getNoAnalyzer()>::177
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::182
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.io.PrintStream::$r4::<java.io.PrintStream: void println(java.lang.String)>::182
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.TempAnalyzer::$r3::<spec.harness.analyzer.TempAnalyzer: void startMeasurementInterval()>::187
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.AnalyzerBase::$r3::<spec.harness.analyzer.AnalyzerBase: void startMeasurementInterval()>::187
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.CallbackAnalyzerExample::$r3::<spec.harness.analyzer.CallbackAnalyzerExample: void startMeasurementInterval()>::187
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.PowerAnalyzer::$r3::<spec.harness.analyzer.PowerAnalyzer: void startMeasurementInterval()>::187
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.StringBuilder::$r7::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.Class::$r10::<java.lang.Class: java.lang.String getName()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.StringBuilder::$r8::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.StringBuilder::$r12::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.Throwable::r0::<java.lang.Throwable: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.io.InvalidClassException::r0::<java.io.InvalidClassException: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.io.WriteAbortedException::r0::<java.io.WriteAbortedException: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.nio.charset.MalformedInputException::r0::<java.nio.charset.MalformedInputException: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.nio.charset.UnmappableCharacterException::r0::<java.nio.charset.UnmappableCharacterException: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.nio.file.FileSystemException::r0::<java.nio.file.FileSystemException: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.util.regex.PatternSyntaxException::r0::<java.util.regex.PatternSyntaxException: java.lang.String getMessage()>::189
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeStartMeasurementIntervalForAnalyzers()>::INVOKE::java.nio.file.InvalidPathException::r0::<java.nio.file.InvalidPathException: java.lang.String getMessage()>::189
