IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::STATICINVOKE::<spec.harness.Context: java.lang.String getSpecBasePath()>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r1::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r3::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r4::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r5::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r6::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r7::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r8::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.Object::$r9::<java.lang.Object: java.lang.String toString()>::202
IN METHOD::<spec.io.ValidityCheckOutputStream: java.lang.String getValidityFileName(java.lang.String)>::INVOKE::java.lang.StringBuilder::$r9::<java.lang.StringBuilder: java.lang.String toString()>::202
