IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::87
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::87
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::INVOKE::java.lang.StringBuilder::$r2::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::87
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::INVOKE::java.lang.StringBuilder::$r3::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::87
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::INVOKE::java.lang.StringBuilder::$r4::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::87
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::INVOKE::java.lang.StringBuilder::$r5::<java.lang.StringBuilder: java.lang.String toString()>::87
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::88
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::89
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::90
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::91
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::93
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::94
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::95
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::96
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::98
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::99
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::100
IN METHOD::<spec.benchmarks.crypto.signverify.Main: void harnessMain()>::STATICINVOKE::<spec.benchmarks.crypto.Util: byte[] getTestData(java.lang.String)>::101
