IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.TempAnalyzer$TemperatureResult::r0::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: java.lang.String getName()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult::r0::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: java.lang.String getName()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.CallbackAnalyzerExample$NumberResult::r0::<spec.harness.analyzer.CallbackAnalyzerExample$NumberResult: java.lang.String getName()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.AnalyzerResult::r0::<spec.harness.analyzer.AnalyzerResult: java.lang.String getName()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.StringBuilder::$r1::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.StringBuilder::$r3::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.AnalyzerResult::r0::<spec.harness.analyzer.AnalyzerResult: double getResult()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.StringBuilder::$r4::<java.lang.StringBuilder: java.lang.StringBuilder append(double)>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.StringBuilder::$r5::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.TempAnalyzer$TemperatureResult::r0::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: java.lang.String getUnit()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult::r0::<spec.harness.analyzer.PowerAnalyzer$PowerConsumtionResult: java.lang.String getUnit()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.CallbackAnalyzerExample$NumberResult::r0::<spec.harness.analyzer.CallbackAnalyzerExample$NumberResult: java.lang.String getUnit()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::spec.harness.analyzer.AnalyzerResult::r0::<spec.harness.analyzer.AnalyzerResult: java.lang.String getUnit()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.StringBuilder::$r6::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.Object::$r8::<java.lang.Object: java.lang.String toString()>::41
IN METHOD::<spec.harness.analyzer.AnalyzerResult: java.lang.String getDescription()>::INVOKE::java.lang.StringBuilder::$r8::<java.lang.StringBuilder: java.lang.String toString()>::41
