IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.benchmarks.serial.Utils: java.util.BitSet createBitSet()>::75
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ByteArrayOutputStream::$r4::<java.io.ByteArrayOutputStream: void reset()>::76
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.net.www.http.PosterOutputStream::$r4::<sun.net.www.http.PosterOutputStream: void reset()>::76
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::SPECIALINVOKE::<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>::77
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>::80
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.OutputStream::r2::<java.io.OutputStream: void flush()>::82
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void flush()>::82
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void reset()>::83
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ByteArrayOutputStream::$r8::<java.io.ByteArrayOutputStream: byte[] toByteArray()>::86
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::spec.benchmarks.serial.Main$1::$r8::<spec.benchmarks.serial.Main$1: byte[] toByteArray()>::86
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ByteArrayOutputStream::$r10::<java.io.ByteArrayOutputStream: int size()>::86
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::SPECIALINVOKE::<java.io.ByteArrayInputStream: void <init>(byte[],int,int)>::86
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::SPECIALINVOKE::<java.io.ObjectInputStream: void <init>(java.io.InputStream)>::87
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectInputStream::r20::<java.io.ObjectInputStream: java.lang.Object readObject()>::90
