IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r1::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r2::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r4::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r5::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r6::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::any_subtype_of::java.lang.StringBuilder::$r6::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r7::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.Object)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r9::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::any_subtype_of::java.lang.StringBuilder::$r9::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::31
IN METHOD::<spec.benchmarks.serial.data.TestPayload: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r10::<java.lang.StringBuilder: java.lang.String toString()>::31
