IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r1::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r2::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r4::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r5::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r6::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r7::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r8::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r9::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.Object::$r10::<java.lang.Object: java.lang.String toString()>::63
IN METHOD::<spec.benchmarks.check.Super: java.lang.String toString()>::INVOKE::java.lang.StringBuilder::$r10::<java.lang.StringBuilder: java.lang.String toString()>::63
