IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.benchmarks.serial.Utils: java.util.BitSet createBitSet()>::75
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::SPECIALINVOKE::<java.io.ObjectOutputStream: void <init>(java.io.OutputStream)>::77
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void writeObject(java.lang.Object)>::80
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void flush()>::82
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void reset()>::83
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::SPECIALINVOKE::<java.io.ByteArrayInputStream: void <init>(byte[],int,int)>::86
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::SPECIALINVOKE::<java.io.ObjectInputStream: void <init>(java.io.InputStream)>::87
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectInputStream::r20::<java.io.ObjectInputStream: java.lang.Object readObject()>::90
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.BitSet::r1::<java.util.BitSet: boolean get(int)>::92
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.Color::r3::<java.awt.Color: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Object::r3::<java.lang.Object: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Integer::r3::<java.lang.Integer: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.text.StyleContext$SmallAttributeSet::r3::<javax.swing.text.StyleContext$SmallAttributeSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Vector::r3::<java.util.Vector: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.MemberName::r3::<java.lang.invoke.MemberName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.HexBinaryDV$XHex::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.HexBinaryDV$XHex: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.time.LocalDateTime::r3::<java.time.LocalDateTime: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Constructor::r3::<java.lang.reflect.Constructor: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.OptionalLong::r3::<java.util.OptionalLong: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.text.AttributedCharacterIterator$Attribute::r3::<java.text.AttributedCharacterIterator$Attribute: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.text.SimpleAttributeSet$EmptyAttributeSet::r3::<javax.swing.text.SimpleAttributeSet$EmptyAttributeSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar::r3::<sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet::r3::<java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.SocketPermission::r3::<java.net.SocketPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.provider.PolicyParser$PermissionEntry::r3::<sun.security.provider.PolicyParser$PermissionEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.ObjectName::r3::<javax.management.ObjectName: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.util.locale.InternalLocaleBuilder$CaseInsensitiveString::r3::<sun.util.locale.InternalLocaleBuilder$CaseInsensitiveString: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.OptionalDouble::r3::<java.util.OptionalDouble: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.AllPermission::r3::<java.security.AllPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.DecimalDV$XDecimal: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.invoke.LambdaForm$Name::r3::<java.lang.invoke.LambdaForm$Name: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.Inet6Address::r3::<java.net.Inet6Address: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.reflect.generics.reflectiveObjects.GenericArrayTypeImpl::r3::<sun.reflect.generics.reflectiveObjects.GenericArrayTypeImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanServerPermission::r3::<javax.management.MBeanServerPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.BitSet::r3::<java.util.BitSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Float::r3::<java.lang.Float: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.ImmutableDescriptor::r3::<javax.management.ImmutableDescriptor: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.EnumMap::r3::<java.util.EnumMap: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.time.zone.ZoneOffsetTransition::r3::<java.time.zone.ZoneOffsetTransition: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanOperationInfo::r3::<javax.management.MBeanOperationInfo: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.x509.AVA::r3::<sun.security.x509.AVA: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.jar.Attributes$Name::r3::<java.util.jar.Attributes$Name: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.String::r3::<java.lang.String: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.beans.IndexedPropertyDescriptor::r3::<java.beans.IndexedPropertyDescriptor: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.KeyboardManager$ComponentKeyStrokePair::r3::<javax.swing.KeyboardManager$ComponentKeyStrokePair: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.jaxp.datatype.XMLGregorianCalendarImpl::r3::<com.sun.org.apache.xerces.internal.jaxp.datatype.XMLGregorianCalendarImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.PropertyPermission::r3::<java.util.PropertyPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.text.PatternEntry::r3::<java.text.PatternEntry: boolean equals(java.lang.Object)>::89
