IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::org.xml.sax.SAXParseException::r1::<org.xml.sax.SAXParseException: java.lang.String getSystemId()>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r2::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r5::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::org.xml.sax.SAXParseException::r1::<org.xml.sax.SAXParseException: int getLineNumber()>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r6::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r7::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::org.xml.sax.SAXParseException::r1::<org.xml.sax.SAXParseException: int getColumnNumber()>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r8::<java.lang.StringBuilder: java.lang.StringBuilder append(int)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r9::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r10::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::org.xml.sax.SAXParseException::r1::<org.xml.sax.SAXParseException: java.lang.String toString()>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r11::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::43
IN METHOD::<spec.benchmarks.xml.ReportingHandler: void report(org.xml.sax.SAXParseException)>::INVOKE::java.lang.StringBuilder::$r13::<java.lang.StringBuilder: java.lang.String toString()>::43
