IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::STATICINVOKE::<spec.harness.analyzer.AnalyzersRunner: int getNoAnalyzer()>::199
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::204
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.io.PrintStream::$r4::<java.io.PrintStream: void println(java.lang.String)>::204
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.TempAnalyzer::$r3::<spec.harness.analyzer.TempAnalyzer: void endMeasurementInterval()>::209
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.AnalyzerBase::$r3::<spec.harness.analyzer.AnalyzerBase: void endMeasurementInterval()>::209
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.CallbackAnalyzerExample::$r3::<spec.harness.analyzer.CallbackAnalyzerExample: void endMeasurementInterval()>::209
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::spec.harness.analyzer.PowerAnalyzer::$r3::<spec.harness.analyzer.PowerAnalyzer: void endMeasurementInterval()>::209
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.StringBuilder::$r7::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.Class::$r10::<java.lang.Class: java.lang.String getName()>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.StringBuilder::$r8::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.StringBuilder::$r12::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.lang.Throwable::r0::<java.lang.Throwable: java.lang.String getMessage()>::211
IN METHOD::<spec.harness.analyzer.AnalyzersRunner: void invokeEndMeasurementIntervalForAnalyzers()>::INVOKE::java.io.InvalidClassException::r0::<java.io.InvalidClassException: java.lang.String getMessage()>::211
