IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::124
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::127
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: void <init>(double,java.lang.String,java.lang.String)>::127
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::131
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::131
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: void <init>(double,java.lang.String,java.lang.String)>::131
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::132
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::132
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: void <init>(double,java.lang.String,java.lang.String)>::132
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::133
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::133
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: void <init>(double,java.lang.String,java.lang.String)>::133
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::134
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::134
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: void <init>(double,java.lang.String,java.lang.String)>::134
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::135
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::135
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<spec.harness.analyzer.TempAnalyzer$TemperatureResult: void <init>(double,java.lang.String,java.lang.String)>::135
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::138
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: java.lang.Double valueOf(double)>::138
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::141
IN METHOD::<spec.harness.analyzer.TempAnalyzer: void tearDown()>::STATICINVOKE::<java.lang.Double: double parseDouble(java.lang.String)>::144
